eps,min_samples,n_clusters,n_noise,silhouette,calinski,davies,noise_ratio
4.5,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
4.7,3,10,4963,0.19106636934094293,4.231487872233554,1.3597795019490655,0.9926
4.9,3,21,4905,0.11746458648937905,4.035195403099405,1.6463460884852652,0.981
4.9,5,6,4969,0.15737421966202753,4.164075591255177,1.530858067162294,0.9938
4.2,2,5,4990,0.37924938152194965,5.6193227314690954,0.6885249710611746,0.998
4.25,2,6,4987,0.3705098286792102,5.646899338412765,0.7458198910399201,0.9974
4.3,2,6,4987,0.3705098286792102,5.646899338412765,0.7458198910399201,0.9974
4.35,2,9,4980,0.325512795371946,5.306188615407173,0.808705075730568,0.996
4.35,3,2,4994,0.36194052298183466,5.366530915119331,0.858386105545075,0.9988
4.3999999999999995,2,10,4976,0.29120276833032605,4.9355010825741035,0.9312060112194397,0.9952
4.3999999999999995,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
4.449999999999999,2,12,4972,0.2964139175842269,4.982695211205263,0.9142064746086787,0.9944
4.449999999999999,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
4.499999999999999,2,18,4960,0.26853195182255013,4.656652379972178,0.9360322270685422,0.992
4.499999999999999,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
4.549999999999999,2,23,4949,0.2619377249629557,4.542507293126466,0.9548042856115565,0.9898
4.549999999999999,3,4,4987,0.2776820462452022,4.3400890945881265,1.04944739096158,0.9974
4.599999999999999,2,30,4931,0.22642458517642647,4.228327413939812,1.0290553277649461,0.9862
4.599999999999999,3,6,4979,0.2246666006803753,4.2187947616348715,1.2044367906054023,0.9958
4.649999999999999,2,34,4923,0.22532102526184244,4.241839199305356,1.0175198061781139,0.9846
4.649999999999999,3,6,4979,0.2246666006803753,4.2187947616348715,1.2044367906054023,0.9958
4.699999999999998,2,38,4907,0.20354561059306545,4.113482641952063,1.1425740924715666,0.9814
4.699999999999998,3,10,4963,0.19106636934094293,4.231487872233554,1.3597795019490655,0.9926
4.699999999999998,4,3,4988,0.18591603549815072,3.3234249834734335,1.4082338601192603,0.9976
4.749999999999998,2,46,4888,0.19659262242059514,4.087169197739708,1.1523984548174553,0.9776
4.749999999999998,3,13,4954,0.18206336376926927,4.062199420764115,1.351693627986131,0.9908
4.749999999999998,4,3,4988,0.18591603549815072,3.3234249834734335,1.4082338601192603,0.9976
4.4,2,10,4976,0.29120276833032605,4.9355010825741035,0.9312060112194397,0.9952
4.4,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
4.45,2,12,4972,0.2964139175842269,4.982695211205263,0.9142064746086787,0.9944
4.45,3,3,4990,0.3016170925649936,4.772223079470169,1.0194655259744674,0.998
